GICS.Sector,total_area,coastal_risk_reduction_service_adj_sum,nitrogen_retention_service_adj_sum,sediment_retention_service_adj_sum,endemic_biodiversity_adj_sum,redlist_species_adj_sum,species_richness_adj_sum,kba_within_1km_adj_sum
Communication Services,112117.1773,7665.439291,17426008.24,11451508.72,9.47E-06,10.39629229,0.029674781,0.031220057
Communication Services,43637.41719,0,43501521.6,326105.3829,3.30E-07,2.801526376,0.012476161,0.062440114
Communication Services,30966.01315,0,42047755.61,46100489.65,1.63E-06,3.737581763,0.010354096,0
Communication Services,90797.51803,8924.13264,101889.3259,11199.75551,6.44E-06,8.959694739,0.02387192,0
Communication Services,9863.396282,7218.952476,91919.22175,8191.843487,2.98E-07,0.736579171,0.003951025,0
Communication Services,5619.61029,0,63967.93028,151620.5198,4.07E-07,0.561961029,0.001588408,0
Communication Services,126477.8195,0,98946824.26,120021738.1,4.65E-06,21.72023403,0.038363505,0.062440114
Communication Services,15483.00657,0,16776322.01,1775127.447,5.80E-07,1.000334197,0.00468555,0.062440114
Communication Services,167310.8237,513.5318218,67176446.38,13331746.66,3.32E-06,12.73464832,0.05008264,0
Communication Services,53560.7674,670.3351161,39027729.7,1755750.126,1.03E-06,2.975598189,0.017431552,0.047153178
Communication Services,41046.45183,0,275696.6137,357368.8881,3.51E-06,3.555559508,0.012201594,0
Communication Services,5619.610291,0,0,0,5.25E-07,0.499520915,0.001667235,0
Communication Services,46666.06212,0,972018.297,193776.6419,3.01E-06,3.068740795,0.012719408,0
Communication Services,123673.4065,0,51812333.82,3559984.474,1.12E-06,7.511605429,0.040130098,0.187320343
Communication Services,5619.610293,0,112605.3374,95839.46422,3.81E-07,0.374640686,0.002218134,0
Communication Services,9863.39628,0,2600670.754,137984.7818,6.67E-07,0.657559752,0.003896579,0
Communication Services,5619.610293,0,20574155.55,4053382.445,2.22E-07,0.936601716,0.001687221,0
Communication Services,5619.61029,0,1226363.058,4429407.801,2.32E-07,1.123922058,0.001739046,0
Communication Services,30966.01315,0,13497091.07,515502.4164,8.47E-07,3.907030434,0.010941917,0
Communication Services,137964.0453,63002.9301,52657401.66,1748850.757,1.44E-06,10.82129276,0.044326021,0.011788294
Communication Services,15483.00657,0,29144068.46,3251087.212,6.36E-07,2.814974616,0.004728786,0
Communication Services,5619.61029,0,250619.0558,1409707.714,2.22E-07,0.874161601,0.001691125,0
Communication Services,5619.610291,0,229526.2856,3464509.226,2.26E-07,0.999041829,0.001715085,0
Communication Services,5619.610291,0,0,0,3.09E-07,0.374640686,0.002242275,0
Communication Services,5619.610291,0,0,0,2.50E-07,0.4370808,0.002221509,0
Communication Services,9863.396282,0,9910670.667,202301.2926,1.71E-07,1.424712796,0.003305053,0
Communication Services,5619.610292,0,3030170.296,127928.3131,9.62E-08,0.811721487,0.001885782,0
Communication Services,5619.610292,0,7874648.01,123464.3835,9.95E-08,0.811721487,0.001915732,0
Communication Services,221989.6259,1799.822815,37323902.68,974563.9222,1.19E-06,12.84952337,0.060254227,0.468201003
Communication Services,5619.610292,0,7479281.701,101989.074,1.22E-07,0.312200572,0.001755624,0
Communication Services,123849.6735,3320.105708,7164933.197,496396.5513,5.59E-07,9.413685627,0.037959649,0.140793378
Communication Services,23970.57855,0,2596539.919,39137.22078,1.63E-07,2.177871271,0.007548798,0
Communication Services,5619.610291,0,193138.2007,15093.46347,2.48E-07,0.249760457,0.001915123,0
Communication Services,5619.610292,0,10746643.01,32278.17516,2.93E-08,0.249760457,0.001706342,0
Communication Services,30966.01315,0,7248743.813,37217.30084,1.01E-07,1.720334064,0.010086004,0
Communication Services,75975.65988,0,25598737.6,45478.48226,4.55E-07,4.111276701,0.020514437,0
Communication Services,5619.610292,0,1413074.236,4636.244834,1.67E-08,0.312200572,0.001818812,0
Communication Services,5619.610292,0,216969.8441,182895.1497,2.32E-08,0.062440114,0.001148524,0
Communication Services,14107.18227,0,0,0,2.43E-08,0.517392587,0.003440393,0
Consumer Discretionary,1901225.671,7301.803822,452593650.4,133081296.3,2.62E-05,154.6506696,0.756816769,0
Consumer Discretionary,32987289.86,1703502.168,12377767713,5161744849,0.002968031,2973.869089,12.60670753,12.16821273
Consumer Discretionary,56814867.49,1113934.619,22173797926,9370974913,0.002299464,5289.043957,23.22972201,7.373735533
Consumer Discretionary,41369453.7,922859.612,13578152427,3819464874,0.001835586,3130.420053,14.95373418,18.11038708
Consumer Discretionary,13533878.99,62670.87186,3962857007,771123626.1,0.000500631,1091.411669,5.714770504,0
Consumer Discretionary,5874377.886,47826.35395,1498050966,256417103.7,0.00046288,447.8342649,2.418414879,0.077455205
Consumer Discretionary,9158425.218,146883.3497,2633067355,627060363.7,0.000251023,704.9480237,3.723928593,0.030982082
Consumer Discretionary,1181160.616,115569.3278,1333690516,648406547.7,2.23E-05,76.05227401,0.334778949,1.297473599
Consumer Discretionary,1430090.567,3941.344779,835004819.4,660846399.9,0.000200639,147.5104411,0.593122921,0.505636447
Consumer Discretionary,73287.55996,5852.109716,10747048.56,16225959.86,1.63E-05,11.89615239,0.03314388,0
Consumer Discretionary,1452471.947,187923.9316,410279203.1,800739596.1,0.000205866,157.6510025,0.477733178,2.323784272
Consumer Discretionary,3442624.653,4591.462112,290140215.2,10194367.13,2.68E-05,259.1867534,1.104879221,0.927882522
Consumer Discretionary,1589161.604,715.5224844,1477405098,23077226.46,3.04E-05,100.9380681,0.520685437,1.517542882
Consumer Discretionary,2192302.307,415529.7827,4046578863,1124882746,0.000473836,502.0927682,0.908771591,1.82728305
Consumer Discretionary,1967393.881,55193.54897,1085175890,2478674316,0.000335007,226.9995454,0.694509601,2.122730213
Consumer Discretionary,49534.0238,80.86411737,47610463.12,1057114.149,1.33E-06,6.059452767,0.019297467,0.062440114
Consumer Discretionary,2772636.671,58027.43009,1820325713,91456325.93,4.44E-05,171.8663185,0.886864069,3.530388911
Consumer Discretionary,1562943.042,2323.594379,1082621767,136877298,9.45E-05,108.8783386,0.511341764,2.546028622
Consumer Discretionary,1252030.748,395873.1902,164592375.5,817381904.4,0.000874392,175.4538574,0.53104167,2.713103625
Consumer Discretionary,698150.5332,28252.59198,157587433.6,53002333.06,4.23E-05,63.12984762,0.21473978,0.821540968
Consumer Discretionary,28098.05146,0,4751340.166,890658.8451,1.48E-06,1.43612263,0.00580303,0
Consumer Discretionary,46449.01972,0,111980414.4,35332619.77,7.12E-06,11.07257812,0.028570917,0.047153178
Consumer Discretionary,393104.6839,0,497196835,92425566.49,9.88E-06,86.98367061,0.183843255,0.151699031
Consumer Discretionary,15483.00657,20.30597892,1186732.185,268307.2007,1.04E-06,1.685883088,0.004838013,0
Consumer Discretionary,284806.1404,0,172988430.8,21752337.71,2.17E-05,19.46700062,0.086473293,0
Consumer Discretionary,613557.521,141146.3821,207270464,93839101.49,6.23E-05,55.20842971,0.202769349,0.910701067
Consumer Discretionary,29590.18885,5276.519046,464338.0334,12430.13796,1.90E-05,3.232355931,0.010142096,0
Consumer Discretionary,196925.8109,12083.38285,43393317.39,9493724.251,2.26E-05,14.88568134,0.069617761,0.109593292
Consumer Discretionary,351755.6061,0,1207615.283,1289335.542,1.41E-06,2.535843144,0.044764244,1.781129406
Consumer Discretionary,5619.610292,0,1642490.205,1272267.157,6.21E-07,1.43612263,0.002845116,0
Consumer Discretionary,402497.7602,11502.38842,42111526.21,18508521.3,6.78E-05,36.34671299,0.120180272,0.304547175
Consumer Discretionary,46666.06212,0,51989484.76,5715468.87,6.61E-07,6.220374324,0.016242783,0.062440114
Consumer Discretionary,5619.610292,0,1593373.313,462626.8933,6.18E-07,1.311242401,0.00281351,0
Consumer Discretionary,3056700.237,480475.2539,398157388.6,516235822.8,0.000186773,396.4446439,0.839109934,2.68860737
Consumer Discretionary,71911.73566,19923.97547,26164990.9,20248885.17,4.94E-06,8.93067167,0.032251895,0.047153178
Consumer Discretionary,1117731.144,69443.54188,304484432.1,48240593.96,0.000550728,88.87307851,0.446430397,0
Consumer Discretionary,1049592.256,1920.82602,238771848.1,44459579.73,1.93E-05,75.47125145,0.391783262,0
Consumer Discretionary,126964.6404,146686.6752,34185594.06,8144412.956,1.37E-05,18.58780504,0.050904333,0.251052825
Consumer Discretionary,28214.36454,0,17831599.17,1272241.718,8.81E-06,2.35378178,0.010442175,0
Consumer Discretionary,49316.98141,14751.76628,2881415.263,777340.7622,9.38E-06,4.525191214,0.017205673,0
Consumer Discretionary,5619.610292,0,0,0,1.48E-07,0.874161601,0.002336303,0
Consumer Discretionary,101043.4967,203301.8357,1261551.622,474775.8809,2.65E-06,15.71787726,0.041894245,0
Consumer Discretionary,337398.5496,1364.407476,566720031.3,52410007.28,2.78E-05,54.73701249,0.125816568,1.091485461
Consumer Discretionary,1038662.642,12032.92619,281695634.2,561377957.8,8.67E-05,103.7685205,0.385409999,1.509339807
Consumer Discretionary,11239.22058,0,16706222.62,1316972.613,2.80E-07,3.496646404,0.006570623,0.124880229
Consumer Discretionary,5619.610292,0,30413596.65,4956164.596,1.40E-07,1.748323202,0.003278575,0.062440114
Consumer Discretionary,26822.38353,2575.448723,21758574.74,993121.4836,2.96E-06,3.684568938,0.011334829,0.062440114
Consumer Discretionary,9863.396282,0,9317756.918,483169.0307,2.34E-07,2.959018885,0.005756329,0.109593292
Consumer Discretionary,101043.4967,0,189441117.5,359327227.4,2.11E-05,26.88249233,0.050310576,0
Consumer Discretionary,310242.2377,0,693958074.4,186772116.8,6.18E-06,86.76074097,0.144216341,0
Consumer Discretionary,10947849.53,250799.9267,3296985008,571555177.2,0.000262654,770.1221297,4.139002097,1.50263098
Consumer Discretionary,217862.8878,0,125745664.6,25759499,6.55E-06,18.20833621,0.078525275,0.221598166
Consumer Discretionary,9863.396282,0,48214075.29,5483389.473,2.33E-07,2.914450442,0.005036354,0
Consumer Discretionary,5619.610292,0,41159280.58,7598074.269,1.97E-07,1.311242402,0.003190119,0
Consumer Discretionary,881759.2104,12829.8458,388806107,145621228.2,2.51E-05,71.85100664,0.350015419,0.173239197
Consumer Discretionary,5619.610292,0,0,0,1.36E-07,1.43612263,0.002853036,0
Consumer Discretionary,5619.610292,0,0,0,1.42E-07,1.498562745,0.003019618,0
Consumer Discretionary,25346.40286,11407.06742,27220011.84,1467266.759,1.14E-06,1.674473254,0.00978627,0
Consumer Discretionary,23970.57855,4164.815352,11129531.51,13668743.68,5.87E-06,3.137514129,0.012794681,0
Consumer Discretionary,397522.9424,9034.459894,192432593.2,15589844.55,6.42E-06,30.90291895,0.150098603,0.284038281
Consumer Discretionary,715563.9737,1448.115253,293546345.3,976211834.6,6.54E-05,63.32038118,0.239402617,1.725059903
Consumer Discretionary,3128917.42,9873.608859,388318460.5,65059092.31,0.000370465,260.2892158,1.374231583,0
Consumer Discretionary,216194.1756,35015.6005,10212107.7,4966957.079,0.000168434,14.79397174,0.034995555,0
Consumer Discretionary,2808476.832,38341.76944,17553310.34,1501135.411,6.84E-05,88.07148134,0.974721962,0.578540334
Consumer Discretionary,29590.18885,378.1517004,112941.0082,13473.50625,9.91E-06,2.535932653,0.006813094,0
Consumer Discretionary,8470909.608,3485.516089,1261146862,507379627.4,0.000243369,601.1907675,3.275144765,0
Consumer Discretionary,294094.7957,0,132868549.9,319081921.3,1.24E-05,22.23604305,0.110867667,0
Consumer Discretionary,2404164.398,4570.271227,74145096.65,17073269.56,3.91E-05,141.979529,0.986379173,0.322254242
Consumer Discretionary,198206.9405,21816.50981,646763.286,1290650.583,1.65E-06,5.636623568,0.038271777,0.154571258
Consumer Discretionary,9863.396283,382.1987922,0,0,0,0,0,0.062440114
Consumer Discretionary,5619.610293,0,161336.2798,5273659.091,2.24E-07,1.373682516,0.00338694,0
Consumer Discretionary,531925.8615,50769.70289,141990933.3,16218724.13,3.33E-05,46.84943762,0.217005665,0.141459533
Consumer Discretionary,29807.23125,32357.74239,7797631.372,92430.67032,8.63E-07,2.9876561,0.010104318,0.047153178
Consumer Discretionary,5619.61029,41869.34745,0,0,8.38E-07,1.373682515,0.002007729,0.062440114
Consumer Discretionary,35209.79914,63976.40293,49726559.14,633236.3243,1.64E-06,6.200956835,0.01245849,0.047153178
Consumer Discretionary,11239.22058,20844.1141,97359.65464,168714.9685,1.09E-06,2.934685374,0.005476264,0.062440114
Consumer Discretionary,19726.79256,15740.94195,519096.1189,35469.35472,1.54E-06,2.148589765,0.007062686,0.047153178
Consumer Discretionary,9863.396281,35525.85535,3426418.259,1498056.605,6.90E-07,0.686841258,0.003538084,0
Consumer Discretionary,18350.96826,0,2022628.674,773563.9969,9.24E-07,2.019832434,0.006727182,0.047153178
Consumer Discretionary,56529.4584,8987.09705,2327791.616,2308284.409,8.52E-07,7.870389236,0.018288669,0.344066813
Consumer Discretionary,5619.610293,8987.094442,0,0,0,1.373682516,0,0.062440114
Consumer Discretionary,9863.396284,52774.52517,0,0,1.08E-05,2.019832434,0.004653461,0.062440114
Consumer Discretionary,15483.00658,31327.82563,255875.5964,3726893.452,1.02E-05,2.909280972,0.006928131,0.047153178
Consumer Discretionary,509857.1621,-1.51E-14,247861334.8,38317190.78,2.48E-05,37.10721417,0.193204526,0.062440114
Consumer Discretionary,5619.610291,0,0,0,1.07E-05,1.123922058,0.002810518,0.062440114
Consumer Discretionary,19726.79256,0,51520802.95,17696091.37,1.67E-05,4.819520113,0.011332626,0.094306355
Consumer Discretionary,32341.83745,0,43674142.97,5851653.699,6.30E-07,5.640066698,0.011746527,0
Consumer Discretionary,5619.610292,0,31046048.07,4545363.091,2.49E-07,1.561002859,0.003531133,0
Consumer Discretionary,25346.40286,0,10006618.93,2129557.177,1.21E-06,5.242606345,0.011210412,0
Consumer Discretionary,288258.143,0,239266265.2,35830429.32,2.75E-06,22.70677285,0.098509163,0.252818223
Consumer Discretionary,5619.610293,0,1067034.494,108128.3968,2.32E-07,1.43612263,0.003484419,0
Consumer Discretionary,5619.610294,0,2899227.882,299486.0787,2.31E-07,1.436122631,0.00347971,0
Consumer Discretionary,5619.610294,0,5240095.782,3574921.332,2.33E-07,1.498562745,0.003479471,0
Consumer Discretionary,45073.19542,940.0883904,32041521.26,2737074.672,2.36E-06,5.414639751,0.020177945,0
Consumer Discretionary,5619.610293,0,7084642.197,701913.3651,1.62E-07,1.248802287,0.003414374,0
Consumer Discretionary,129716.289,3936.119362,83266965.74,93083767.74,2.02E-05,12.42366245,0.054088914,0.180323059
Consumer Discretionary,648690.6201,28873.79396,893206641.6,55579395.61,1.18E-05,38.8054861,0.223779034,0
Consumer Discretionary,5619.610293,0,73565.22565,1203100.619,1.05E-06,0.99904183,0.002402855,0
Consumer Discretionary,5619.610291,0,73060.06167,4615725.606,8.58E-07,0.999041829,0.002384912,0
Consumer Discretionary,18470613.34,79652.08859,5399229899,1557627151,0.000356133,1402.962522,7.63638781,0.314544412
Consumer Discretionary,9863.396282,0,3376.313752,8548.841868,2.21E-08,0.876746336,0.001407133,0
Consumer Discretionary,458385.8813,0,214569101,25185144.91,2.83E-05,105.9222882,0.165987286,0
Consumer Discretionary,11239.22058,0,1260133.388,5312347.049,2.69E-06,2.622484803,0.004892005,0
Consumer Discretionary,9863.396282,0,1115009.709,348760.5647,1.55E-06,1.594161468,0.004137968,0
Consumer Discretionary,5619.610291,0,328521.2937,419490.1714,1.57E-06,1.311242401,0.002500356,0
Consumer Discretionary,8261820.554,3909.121092,1761115534,331812756.4,0.000204538,696.8760073,3.613337321,0
Consumer Discretionary,31183.05555,0,9758812.274,768774.5629,8.33E-07,3.674151052,0.014272991,0
Consumer Discretionary,412216.4412,4440.147741,90737197.9,6303561.628,1.42E-05,36.88316971,0.181061774,0
Consumer Discretionary,104687.6579,388.2074778,6926836.608,440839.5926,4.56E-06,3.540143953,0.020253562,0
Consumer Discretionary,95258.34642,671.2076923,175483.9221,6526.342386,3.07E-08,0.718707499,0.001220975,0
Consumer Discretionary,79124.21265,0,19732903.63,1129284.856,4.43E-06,6.51216681,0.029814065,0.047153178
Consumer Discretionary,866843.583,4343.569894,224012670.7,57063984.99,2.14E-05,67.75489922,0.366537123,0
Consumer Discretionary,2402139.109,5981.531101,377872935.8,89480755.81,4.46E-05,192.7714507,1.047908554,0
Consumer Discretionary,5619.610292,0,0,0,2.49E-07,0.561961029,0.002363663,0
Consumer Discretionary,130034.0608,0,81242728.79,19618421.49,3.93E-06,15.9952818,0.048231143,0.109593292
Consumer Discretionary,95041.30403,0,4695526.823,1846987.227,3.18E-06,9.082336539,0.040824958,0
Consumer Discretionary,164635.4759,0,37860790.81,2177882.976,3.15E-06,11.76184232,0.067262443,0
Consumer Discretionary,505051.9434,4672.249363,692754426.7,21298527.73,3.07E-05,80.77002152,0.18971561,0.284038281
Consumer Discretionary,83034.64316,0,11503574.19,860954.2349,0.000227101,5.566216751,0.029910676,0
Consumer Discretionary,121445.7595,487.8944009,75751693.88,9826862.805,4.38E-06,9.13205089,0.042781971,0.109593292
Consumer Discretionary,364608.6396,0,62830817.24,4687595.972,4.96E-06,31.74486236,0.14840967,0
Consumer Discretionary,41046.45183,0,6454813.104,1015632.069,8.32E-07,3.73676432,0.017844441,0
Consumer Discretionary,55370.6765,0,9983834.689,830674.7252,9.70E-07,5.414599003,0.022310169,0
Consumer Discretionary,72229.50738,0,152843178.5,77739443.86,7.28E-07,7.690476793,0.02569687,0.221598166
Consumer Discretionary,9863.396282,0,39762823.96,3694920.601,1.81E-07,3.726171929,0.004509081,0
Consumer Discretionary,399601.3964,-5.23E-18,111529332.3,18038934.3,7.44E-06,33.43384585,0.163937739,0
Consumer Discretionary,5619.610292,0,56521986.37,1466007.718,1.37E-07,0.749281372,0.002567813,0
Consumer Discretionary,2269136.357,3836.289276,397616326.6,41306588.55,3.45E-05,159.3404703,0.966447069,0
Consumer Discretionary,294696.6961,0,53766753.05,2438358.377,5.64E-06,20.08964274,0.129273857,0
Consumer Discretionary,5619.610292,0,0,0,5.67E-07,0.811721487,0.003866888,0
Consumer Discretionary,244945.6298,0,88166902.85,23158897.5,1.92E-06,19.4945231,0.099552444,0
Consumer Discretionary,5619.610292,0,0,0,9.11E-07,0.874161601,0.003419144,0
Consumer Discretionary,643605.2867,0,567513261.9,964418999.9,6.80E-06,53.31360581,0.256125181,0
Consumer Discretionary,5619.610292,0,1904121.153,139244.2492,1.78E-07,1.155142116,0.00285722,0
Consumer Discretionary,5619.61029,0,5076161.507,462426.6477,1.60E-07,1.186362172,0.002764715,0
Consumer Discretionary,5619.610292,0,8923018.029,3095610.034,8.71E-07,2.622484803,0.005411018,0
Consumer Discretionary,5619.610293,0,443927.1094,56170.51029,1.43E-07,1.061481944,0.002678901,0
Consumer Discretionary,1488042.264,22422.80764,371540882,58419237.84,1.83E-05,105.22792,0.526002234,0.221598166
Consumer Discretionary,97692.22331,0,51214311.17,680787.609,2.01E-06,5.169058168,0.036434851,0
Consumer Discretionary,5619.61029,0,9457425.482,46456.91241,1.36E-07,0.999041829,0.00253841,0
Consumer Discretionary,15483.00658,0,11626922.96,3912161.08,1.65E-07,1.437414998,0.005253303,0
Consumer Discretionary,5619.61029,0,369508.3272,164816.7541,1.17E-07,1.061481944,0.002285573,0
Consumer Discretionary,19726.79256,0,17399919.36,732449.0646,2.96E-07,3.131052291,0.00719571,0
Consumer Discretionary,5619.610292,0,1011679.272,272145.4882,1.14E-07,1.045871915,0.002274636,0
Consumer Discretionary,5619.610293,0,957517.3431,116224.8191,1.25E-07,1.123922059,0.002259229,0
Consumer Discretionary,5619.610291,0,9555271.639,31818.73494,1.05E-07,0.999041829,0,0
Consumer Discretionary,5619.610291,0,3303875.038,15603.16895,9.82E-08,0.999041829,0.002303994,0
Consumer Discretionary,5619.610293,0,9224115.252,245679.8243,1.55E-07,1.123922059,0.002255403,0
Consumer Discretionary,11239.22058,0,31962215.38,9109937.405,9.07E-07,2.622484803,0.006728319,0
Consumer Discretionary,5619.610293,0,321790.468,1388.753267,1.02E-07,0.99904183,0.002250991,0
Consumer Discretionary,5619.610291,0,4401210.346,101502.3377,1.02E-07,1.061481944,0.002235567,0
Consumer Discretionary,136521.8407,0,86342019.12,9054819.749,1.02E-06,7.874700515,0.041284332,0
